Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
906,29,0.814052795031056,0.04111624144729064,0.0057354927062988285,0.0011971306839564713,0.003701019287109375,0.0010448994828060362,entropy,3,1,8,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
912,29,0.814052795031056,0.04111624144729064,0.005792427062988281,0.000949510142368596,0.004161405563354492,0.00275804108764683,entropy,3,2,6,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
908,29,0.814052795031056,0.04111624144729064,0.005826330184936524,0.0012406375958143063,0.0034609317779541017,0.0010102681971187282,entropy,3,1,9,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 9, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
916,29,0.814052795031056,0.04111624144729064,0.006056976318359375,0.0012044262736697418,0.0044762611389160155,0.001142332919503576,entropy,3,2,8,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 8, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
934,29,0.814052795031056,0.04111624144729064,0.006660938262939453,0.0006277061783730608,0.0031531333923339845,0.0005308223849631711,entropy,3,4,7,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
938,29,0.814052795031056,0.04111624144729064,0.00699467658996582,0.0022115646091210067,0.007540702819824219,0.005075748074316735,entropy,3,4,9,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 9, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
920,29,0.814052795031056,0.04111624144729064,0.010028696060180664,0.0065439292188497564,0.002982902526855469,0.0002535575210731853,entropy,3,3,5,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
1042,54,0.8140450310559005,0.045326399482707336,0.005071496963500977,0.000505566686370741,0.0030871868133544923,0.00013496872183080434,entropy,5,5,6,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 6, 'splitter': 'best'}",0.7639751552795031,0.7875,0.89375,0.83125,0.79375
1046,54,0.8140450310559005,0.045326399482707336,0.005866146087646485,0.001085234405946094,0.0042704582214355465,0.002166338344787333,entropy,5,5,8,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",0.7639751552795031,0.7875,0.89375,0.83125,0.79375
1048,54,0.8140450310559005,0.045326399482707336,0.00637664794921875,0.0015614617993938294,0.0032451629638671877,0.000872273189140459,entropy,5,5,9,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 9, 'splitter': 'best'}",0.7639751552795031,0.7875,0.89375,0.83125,0.79375
1137,57,0.8140217391304349,0.043353285055942145,0.005534744262695313,0.0012459519771308412,0.0033390998840332033,0.0010521987358605366,entropy,7,4,8,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 8, 'splitter': 'random'}",0.782608695652174,0.80625,0.8875,0.83125,0.7625
1277,58,0.8140062111801243,0.03574232965924734,0.004729557037353516,0.00044484775613071436,0.0027723789215087892,0.00011288281573770084,entropy,10,3,8,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 8, 'splitter': 'random'}",0.7950310559006211,0.79375,0.85625,0.85625,0.76875
1044,59,0.8127950310559007,0.043144757128829925,0.005682754516601563,0.0010074460089971858,0.0029360771179199217,0.00011766611726465244,entropy,5,5,7,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",0.7639751552795031,0.7875,0.8875,0.83125,0.79375
1040,59,0.8127950310559007,0.043144757128829925,0.006865262985229492,0.0032523933399992316,0.004430532455444336,0.0033521412581323834,entropy,5,5,5,best,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'best'}",0.7639751552795031,0.7875,0.8875,0.83125,0.79375
1090,61,0.8127872670807454,0.0379992660447212,0.006026649475097656,0.0007997838226819834,0.0033330440521240233,0.0009064585004523458,entropy,6,5,5,best,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'best'}",0.7701863354037267,0.7875,0.88125,0.81875,0.80625
1094,61,0.8127872670807454,0.0379992660447212,0.0071124076843261715,0.0032803947078674104,0.0030447006225585937,0.0002504175427838523,entropy,6,5,7,best,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",0.7701863354037267,0.7875,0.88125,0.81875,0.80625
